,address,company,conditions,date,description,duty,experience,name,requirements,salaryMAX,salaryMIN,schedule,skills,type_of_employment,url,count_day
4,Челябинск,UNIT6,"Просторный двухуровневый офис с отдельной кухонной зоной,Возможность работать над проектами мирового уровня,Возможность создать свой стартап на базе нашей компании,Поощрение инициативности,Кухня с кофемашиной и печенками,Новые книги в нашей библиотеке,Полный рабочий день,Стабильная зарплата,Ежегодный отпуск,Официальное трудоустройство,Перспективы карьерного и зарплатного роста",8 октября 2020," Мы не делаем веб-сайты, мы делаем интернет-продукты — интернет-банки, онлайн-сервисы для пользователей крупных компаний, сложные (но удобные) интерфейсы, и много другого интересного в проектах Федерального и Мирового масштаба. Мы почти никогда не делаем разовые проекты, все наши проекты живут и развиваются, учитывают опыт своих пользователей, следят за новыми тенденциями в дизайне и проектировании. Обязанности : Проводить ручное функциональное тестирование web-интерфейса и/или мобильных приложений Сверять внешний вид на соответствие макету (часто от нас требуется пиксел-перфект) Не допускать появление ошибок у пользователя, как в новых, так и в старых частях Писать и поддерживать в актуальном состоянии тест-кейсы, тест-планы, чек-листы Локализовывать и документировать дефекты Участвовать в процессе улучшения работы QA Требования : Опыт работы тестировщиком или в аналогичной позиции, связанной с проверкой работы разработчиков Умение находить ошибки программистов Способность самостоятельно и быстро решать нестандартные задачи Оконченное высшее образование Понимание процесса разработки ПО Понимание процесса тестирования и его роли в обеспечении качества Опыт работы с тестовой документацией Самостоятельность, внимательность, ответственность, умение работать в команде Условия : Просторный двухуровневый офис с отдельной кухонной зоной Возможность работать над проектами мирового уровня Возможность создать свой стартап на базе нашей компании Поощрение инициативности Кухня с кофемашиной и печенками Новые книги в нашей библиотеке Полный рабочий день Стабильная зарплата Ежегодный отпуск Официальное трудоустройство Перспективы карьерного и зарплатного роста А еще у нас хороший и дружный коллектив, уютный офис с кофемашиной, печенками, фруктами и гироскутером. Мы проводим митапы разработчиков в Челябинске и организуем крупнейшую Челябинскую конференцию разработчиков UWDC. Полностью удаленных сотрудников сейчас не рассматриваем, у вас как минимум должна быть возможность появляться в офисе по необходимости. "," , , , , , , , , , , , ",1–3 года,Тестировщик веб-сервисов," , , , , , , , , , , , , , , , ",50000.0,20000.0,полный день,,Полная занятость,https://tyumen.hh.ru/vacancy/38993070,21
19,Челябинск,Alt.Point,"Рабочие часы обсуждаются индивидуально, без ущерба для ритма разработки проекта;,В офисе есть печеньки, шавуха из Гордона, кофе, психопаты разработчики, в общем дружный коллектив;,Обсуждаются индивидуально;",14 октября 2020," Обязанности: Разработка компонентов на JavaScript/ Vue.js; Разработка front-end приложений преимущественно на Nuxt.js; Поддержка и развитие действующих проектов; Требования: Умение самостоятельно обучаться, задавать вопросы, если что-то не понятно ; Умение не только воспринимать критику от окружающих, но и формулировать свои соображения/предложения; Опыт разработки от 2-х лет; Опыт реальной разработки, возможность предоставить примеры кода в репозиториях, либо примеры своего кода. Если такой возможности нет, то готовность выполнить тестовое задание; Знакомство с микро-сервисной архитектурой; Git flow; Знание ES3 - ES2020; Знание устройства и принципов работы Vue.js; Понимание принципов работы браузерных движков, их различия. Плюсом будет умение писать автотесты. Опыт работы с figma, все макеты дизайнеры предоставляют именно в этом редакторе. Условия: Рабочие часы обсуждаются индивидуально, без ущерба для ритма разработки проекта; В офисе есть печеньки, шавуха из Гордона, кофе, психопаты разработчики, в общем дружный коллектив; Обсуждаются индивидуально; ","Разработка компонентов на JavaScript/ Vue.js;,Разработка front-end приложений преимущественно на Nuxt.js;,Поддержка и развитие действующих проектов;",1–3 года,Front-end разработчик Vue.js,,92142.9,60000.0,гибкий график,"Английский — A1 — Начальный,JavaScript,Git,Адекватность,ES2019,EcmaScript,Vue,Vue.js,Nuxt.js,CSS3",Полная занятость,https://tyumen.hh.ru/vacancy/39805982,15
41,Челябинск,Дст-Урал,"График работы: 5/2 с 8-00 до 17-00;,Официальное трудоустройство;,Белая заработная плата.",15 октября 2020," Обязанности: Разработка и администрирование сайта предприятия. Требования: Знание Битрикс (Работа с готовыми проектами и внедрение новых); Знание HTML, CSS, JavaScript/jQuery, PHP, MySQL; Обучаемость. Условия: График работы: 5/2 с 8-00 до 17-00; Официальное трудоустройство; Белая заработная плата. Рассмотрение на вакансию через резюме. Кандидаты на должность рассматриваются после подачи письменного резюме. Встречи или телефонные интервью будут проведены с кандидатами, максимально соответствующими заявленным требованиям, остальные резюме сохранятся в базе данных. ",Разработка и администрирование сайта предприятия.,не требуется,Web-разработчик,"Знание Битрикс (Работа с готовыми проектами и внедрение новых);,Знание HTML, CSS, JavaScript/jQuery, PHP, MySQL;,Обучаемость.",92142.9,62678.6,полный день,"JavaScript,jQuery,MySQL,CSS,HTML",Полная занятость,https://tyumen.hh.ru/vacancy/39229006,14
46,Челябинск,GILMON,"современный офис в центре города;,молодой и дружелюбный коллектив;,достойную и своевременную заработную плату;,развитую корпоративную культуру;,библиотеку современной литературы по необходимым технологиям;,график работы Пн-Пт с 09:00 до 18:00;,возможность профессионального и карьерного роста.",6 октября 2020," !!! 30 000 рублей!!! Именно ты можешь получить вознаграждение в размере 30 000 рублей , если приведёшь кандидата в нашу компанию и он действительно окажется тем, кто нам нужен, пройдя этапы собеседования и испытательный срок!!! Подробности уточняй по телефону, указанному в вакансии или пиши мне: https://t.me/Nina_Ol Давай знакомиться! Мы — сервис скидок GILMON. Наш продукт — бесплатные купоны и промокоды на товары и услуги со скидкой до 100%. Проект основан в 2011 г. На сегодняшний день представлен в пяти городах миллионниках России: Челябинск, Екатеринбург, Москва, Самара и Новосибирск. GILMON в цифрах: - пользовательский охват - 2 500 000 +; - визиты в месяц - 1 800 000 +; - получено купонов - 20 000 + в день; - мобильное приложение IOS (рейтинг 4,8); - мобильное приложение Android (рейтинг 4,6); - аудитория в социальных сетях - 300 000 + (VK 290 000 +, Instagram 6 300 +). С недавнего времени мы также представлены в Facebook и Одноклассники. В связи с расширением штата мы в поисках опытного специалиста. У нас сплоченная команда амбициозных разработчиков. Мы следим за качеством кода, стараемся использовать современные технологии и применяем нестандартные решения. Задачи: разработка решений для автоматизации бизнеса; разработка и поддержка нового функционала сайта; поддержка и развитие внутреннего API. Требования: опыт разработки на PHP от 1 года; хорошее понимание концепции ООП, опыт её применения; умение писать опрятный и поддерживаемый код; умение работать с чужим кодом; умение составлять и оптимизировать SQL-запросы; опыт работы с Git; опыт работы с нереляционными базами данных и системами кеширования. Плюсами будут: опыт работы с консолью Linux; опыт работы с высоконагруженными проектами; умение работать с кешированием, понимание целесообразности его применения; опыт разработки на Yii/Symfony/Zend/etc, понимание принципов их работы; опыт разработки на Vue + TypeScript; понимание работы RESTful сервисов. Условия: современный офис в центре города; молодой и дружелюбный коллектив; достойную и своевременную заработную плату; развитую корпоративную культуру; библиотеку современной литературы по необходимым технологиям; график работы Пн-Пт с 09:00 до 18:00; возможность профессионального и карьерного роста. Миссия нашей компании — результат для всех! GILMON — это не просто работа, это любимое дело! Готов присоединиться к GILMON? До встречи на собеседовании! ",не указано,1–3 года,Backend-разработчик,"опыт разработки на PHP от 1 года;,хорошее понимание концепции ООП, опыт её применения;,умение писать опрятный и поддерживаемый код;,умение работать с чужим кодом;,умение составлять и оптимизировать SQL-запросы;,опыт работы с Git;,опыт работы с нереляционными базами данных и системами кеширования.",120000.0,60000.0,полный день,,Полная занятость,https://tyumen.hh.ru/vacancy/39645861,23
64,Челябинск,The Transport Hub,не указаны,17 сентября 2020," Работа над проектом с огромными перспективами для Fullstack / Frontend / Backend разработчиков. Проект представляет из себя систему управления транспортом, парковками, пропусками, персоналом и т.д. (Есть уже осуществленные и текущие проекты в т.ч. ЧМ по Футболу 2018) Обязанности: Разработка, отладка и рефакторинг кода системы; Поддержание работы системы Основные требования: умение понимать чужой код; умение писать качественный, разборчивый и рабочий код; умение и желание учиться и делиться опытом; знание git: умение пушить, пулить, мержить и разрешать кофликты; минимальный опыт работы с cloud сервисами типа gitlab; умение работать с командной строкой; минимальное умение писать unit-тесты; наличие полноценной IDE, желательно от jetbrains (phpstorm/intellijidea); телеграм, дискорд, trello аккаунт, электронная почта; желательно иметь операционную систему windows10 или linux (arch, centos или debian-like); Бэкенд разработчик: php7; laravel; понимание как работают http зарпосы и rest api; опыт работы с sql базами данных. в нашем случае с postgres; умение работать с xdebug; Фронтенд nodejs; vuejs; scss; vuetify; желательно понимание Laravel; умение писать типизированный код (не лепить везде any); базовое понимание работы webpack; умение работать с браузерным дебаггером, инспектором и vue devtools; понимание концепции написания модульного приложения; умение использовать async/await и работать с асинхронным кодом; Fullstack разработчик - уверенное знание всех технологий перечисленных выше. Дополнительно (желательно): понимание концепци работы ci/cd; умение работать с ssh и bash; умение работать с docker, docker-compose/kubernetes; Условия: Работа полностью удаленная, но в команде; Постановка задач в trello; Приложение мониторинга рабочего времени (hubstaff). Перспективы: Проект долгосрочный и предполагает карьерный рост и развитие вместе с компанией. ","Разработка, отладка и рефакторинг кода системы;,Поддержание работы системы",1–3 года,Fullstack / Frontend / Backend разработчик,,92142.9,62678.6,полный день,"Git,JavaScript,MVC,PHP,VUE,SCSS,Laravel,Node.js,vue.js,PostgreSQL,php7,JS",Полная занятость,https://tyumen.hh.ru/vacancy/39307610,42
65,Магнитогорск,Amigoweb,не указаны,14 октября 2020," Amigoweb — распределенная команда веб-разработчиков. Наш дружный коллектив состоит из 30 специалистов. Ценим в людях профессионализм, умение работать в команде, способность обучаться. Наша команда развивается, нам доверяют всё больше интересных, крупных проектов. Поэтому в штат требуется React.js разработчик на полный рабочий день, удаленно. Мы ищем кандидата, который: Знает JavaScript (ЕS6); Имеет успешный опыт работы c React.js или Vue.js; Готов разрабатывать SPA; Уверенно работает с Git. Будет плюсом: HTML5/CSS3; SASS/SCSS/STYLUS; next.js/nuxt.js; БЭМ; NodeJS; Server side rendering; Предлагаем: Официальное оформление в штат; Возможность работать удаленно; Оплачиваемый отпуск / Больничный; Возможность работать над крупными проектами известных брендов. Бонусы Возможность незначительно сдвигать рабочий график. Оплата сверхурочных. ",не указано,1–3 года,Frontend разработчик (React.js и Vue.js),,70000.0,50000.0,удаленная работа,"JavaScript,react.js,Git,ООП,vue.js",Полная занятость,https://tyumen.hh.ru/vacancy/39296029,15
66,Челябинск,Компас Плюс,не указаны,13 октября 2020," Обязанности: Разработка, доработка и интеграция корпоративных информационных систем; Разработка web-сайтов; Разработка и актуализация документации, инструкций. Требования: Хорошее знание JavaScript, TypeScript; Опыт работы с React; Адаптивная верстка (HTML5 и CSS3); Умение настраивать окружение и сборку проектов (Webpack, Gulp, NPM Scripts); Опыт написания тестов; Опыт работы c XML, JSON, REST API; Способность и желание обучаться. Будет плюсом: Опыт работы с реляционными и NoSQL БД; Уровень английского B1 или выше; Опыт работы с MS Dynamics. Мы предлагаем: Официальный ежемесячный доход с перспективой роста (уровень дохода обсуждается индивидуально на собеседовании); Оформление согласно ТК РФ; Социальный пакет, дотация на питание, поддержка молодых семей; Широкие возможности карьерного роста; Дружный коллектив и профессиональное окружение; Система наставничества; Академия обучения; Agile-холлы; Корпоративная база отдыха, и многое другое. ","Разработка, доработка и интеграция корпоративных информационных систем;,Разработка web-сайтов;,Разработка и актуализация документации, инструкций.",1–3 года,Frontend-разработчик,"Хорошее знание JavaScript, TypeScript;,Опыт работы с React;,Адаптивная верстка (HTML5 и CSS3);,Умение настраивать окружение и сборку проектов (Webpack, Gulp, NPM Scripts);,Опыт написания тестов;,Опыт работы c XML, JSON, REST API;,Способность и желание обучаться.",92142.9,62678.6,полный день,"JavaScript,HTML5,CSS3,XML",Полная занятость,https://tyumen.hh.ru/vacancy/39376145,16
97,Челябинск,Максимал,не указаны,5 октября 2020," В команду нового образовательного проекта ищем Front-end разработчика. «Максимал» - это компания молодых профессионалов, которые подходят к каждому проекту индивидуально. Мы занимаемся разработкой сайтов любой сложности. С нами вы сможете развить свои скилы и поработать над интересными проектами без скучных и однообразных задач. Проект направлен на то, чтобы объединить преподавателей и учеников через интернет, используя самые современные Web технологии. Это отличный шанс получить опыт разработки большого и высоконагруженного проекта. В проекте используется следующий стек технологий: Reactjs, WebRTC, Websocket, Canvas. Мы пригласим вас на собеседование, если Вы: Имеете опыт работы от 3 лет Имеете опыт разработки Web-приложений Работали с PHP шаблонизаторами; имеете опытом работы с системами контроля версий; Имеете опыт верстки HTML CSS; Знаете Javascript, JQuery React JS/Vue JS; обладаете такими качествами, как аккуратность, внимательность, вовлеченность, ответственность, трудолюбие. От нас: подтвержденный официально стаж, гарантия занятости в развивающейся компании; гибкий график работы (плавающее начало рабочего дня); крутой офис, постоянный контакт с командой, приятная рабочая атмосфера; стабильная заработная плата (2 раза в месяц); бесплатные обеды в офисе, буфет с чаем/кофе/газировкой и печенками; богатая корпоративная жизнь (корпоративные мероприятия); возможность работы удаленно. Если ты заинтересован в работе в сплоченной и дружной команде профессионалов, нацеленных на создание интересных и перспективных сайтов, то ждем твой отклик! ",не указано,3–6 лет,JavaScript разработчик/Frontend (Middle / Senior),,120000.0,60000.0,полный день,"CSS,Git,ReactJS,JavaScript,HTML5,VueJS,jQuery",Полная занятость,https://tyumen.hh.ru/vacancy/39612392,24
103,Челябинск,INTEC,"Как ты уже заметил, в этой цепочке отсутствует самый сложный элемент - конечный заказчик.,Ты работаешь в центре города, над одним-единственным проектом, но по-серьезному, без диких танцев с бубном.,Ты работаешь в спокойном темпе, с обедом в один час, вокруг тебя не бегает возбужденный аккаунт-менеджер.,Тебе не придется каждый день задерживаться на работе либо брать проекты на дом, у тебя будет пятидневная рабочая неделя с 9:30 до 18:30;,Твои идеи и предложения обсуждает вся команда, а лучшие из них без промедления берут в работу. Ты точно способен сделать мир чуточку лучше. От этой мысли тебя распирает гордость за себя и твою команду,Ты чувствуешь поддержку всей команды, потому что в ней ты важный персонаж, от идей и творчества которого зависит успех продукта на рынке.",15 октября 2020," Мы, команда INTEC ! В связи с расширением штата, приглашаем в свою команду! INTEC- успешно работаем с 2006 года, наша основная специализация — разработка готовых сайтов на платформе «1С-Битрикс». Web- дизайнера В чем будет заключаться твоя работа: Развитие линейки готовых решений. Модернизация шаблона, функционала и всевозможных плюшек. Разработка новых отраслевых шаблонов по таким тематикам, как Строительство, Промышленность и Недвижимость. Модернизация интерфейса уникального модуля «Конструктор дизайна и структуры сайтов». Тебе будет где проявить свой нереализованный потенциал разработчика интерфейсов! Отслеживать лучшие проекты, замечать и фиксировать интересные фичи, готовить план модернизации решений. Систематически повышать квалификацию, отслеживать тенденции в отрасли, анализировать работы номинантов всевозможных рейтингов и конкурсов, подмечать, что можно реализовать в своих проектах. Не лениться и работать, упорно и на результат! Требования к кандидату: Опыт работы в экранном дизайне (web-дизайн, интерфейсы) Уверенное владение Figma, Corel Draw, Photoshop; Понимание принципов верстки web-страниц Знание основ UI/UX Креативность, художественный вкус Наличие портфолио обязательно! Условия: Как ты уже заметил, в этой цепочке отсутствует самый сложный элемент - конечный заказчик. Ты работаешь в центре города, над одним-единственным проектом, но по-серьезному, без диких танцев с бубном. Ты работаешь в спокойном темпе, с обедом в один час, вокруг тебя не бегает возбужденный аккаунт-менеджер. Тебе не придется каждый день задерживаться на работе либо брать проекты на дом, у тебя будет пятидневная рабочая неделя с 9:30 до 18:30; Твои идеи и предложения обсуждает вся команда, а лучшие из них без промедления берут в работу. Ты точно способен сделать мир чуточку лучше. От этой мысли тебя распирает гордость за себя и твою команду Ты чувствуешь поддержку всей команды, потому что в ней ты важный персонаж, от идей и творчества которого зависит успех продукта на рынке. Для трудоустройства: Вышлите резюме на e-mail; Позвоните нам. Рассматриваются резюме только с портфолио! ",не указано,1–3 года,Веб-дизайнер,"Опыт работы в экранном дизайне (web-дизайн, интерфейсы),Уверенное владение Figma, Corel Draw, Photoshop;,Понимание принципов верстки web-страниц,Знание основ UI/UX,Креативность, художественный вкус",92142.9,45000.0,полный день,"CorelDRAW,Adobe Photoshop,Дизайн интерфейсов,Креативность,Веб-дизайн,Web-дизайн,1С-Битрикс,Графический дизайн,Дизайн,HTML5,Знание основ UI/UX,Figma",Полная занятость,https://tyumen.hh.ru/vacancy/39632156,14
133,Челябинск,One Inc. Russia,не указаны,15 октября 2020," Привет! Так мы приветствуем друг друга, когда приходим на работу. Мы - это One Inc . Это большая IT-команда профессионалов в России, США и Мексике. Это более 200 неравнодушных людей, стремящихся сделать качественные продукты для автоматизации американской сферы страхования. И если ты ищешь профессионального развития в области разработки, хочешь работать не только с российскими, но и американскими коллегами, получить опыт работы с активным, сложным и стремительно развивающимся продуктом - мы будем тебе рады! Приглашаем на проект по развитию системы процессинга платежей для страхового рынка: Процессинг платежей (кредитные карточки, дебитные карточки, банковские переводы, чековые платежи) Вариативный набор продуктов для клиентов: API ядро, встраиваемые формы платежей (для веба, iOS, Android) построенный по принципу CMS систем (конфигурируемый UI), автоматизация коммуникаций с плательщиками – звонки, SMS, емейл. И это еще не всё) Angular, .NET, ASP.NET Core, SQL, Как тебе предстоит работать: В составе отличной кросс-функциональной команды - разработчики, тестировщики, тим-лид. Объединяемся в небольшие команды по 5-7 человек. Вся команда собирается в рамках одного города и даже одной комнаты. Что позволяет быстро решить все вопросы. Действуя по отлаженным процессам тестирования и разработки (планирование, бизнес анализ, тех анализ, написание кода, тестирование, автоматизация и т.д). Уважаем Scrum и стремимся жить по Agile. В командах с высоким уровнем самостоятельности, плоской организационной структурой и минимальной бюрократией. Что тебе предстоит делать: Разработка Front-end’а для продукта: стиля, верстки, по сути всей клиентской части. Оптимизация Front-end’а для работы под планшеты, смартфоны и десктоп. Что мы ждем от тебя: Опыт в разработке от 2-х лет. Отличные знания и опыт программирования на JS (прототипы, замыкания, области видимости и т.д.). Знание Framework’ов (jQuery, ExtJS и подобные). Опыт разработки кроссбраузерных решений. Знание Angular Знание HTML5/CSS3 Желание улучшать UX, делать пользователей счастливыми, понимание принципов юзабилити. Большим плюсом будет знание C#. Желательно знание Typescript Опыт командной разработки, организованной по методологии SCRUM Опыт работы с автотестами. Английский язык (Intermediate и выше), навыки работы с технической документацией и перепиской на английском. И еще немного о приятном : Мы ждём тебя! Комфортный офис, дружеская атмосфера. У нас поощряется открытость, позитив и конструктивная критика. Поэтому комфортно работать как крутым профессионалам, так и начинающим специалистам. Регулярно проводим Performance Review, отслеживаем профессиональный рост и пересматриваем зарплаты, ориентируясь на рынок и индивидуальный прогресс. ДМС, компенсация занятий спортом. Компенсируем 50% профессионального обучения, конференций, также есть программа по компенсации занятий английским языком. Ответственный работодатель, соблюдающий все нормы ТК и даже больше (белая зарплата, оплачиваемый отпуск, гибкий рабочий день, возможность периодически работать удаленно). ",не указано,1–3 года,Frontend developer (Middle),,92142.9,62678.6,гибкий график,"Английский — B1 — Средний,AngularJS,CSS,HTML,UX,Scrum",Полная занятость,https://tyumen.hh.ru/vacancy/39834157,14
161,Челябинск,Агентство КИТ Консалт,не указаны,22 сентября 2020," Обязанности: Разработка backend и frontend для Desktop-приложения Участие в разработке архитектуры и UX/UI разрабатываемого приложения Участие в документировании, ревью кода, рефакторинге Требования: Опыт разработки Desktop-приложений на C/С++ не менее 3 лет Опыт разработки приложений с использованием Qt Опыт работы с системой контроля версий Git Умение работать в команде Будет преимуществом: Знание языка Qt QML Опыт программирования графического интерфейса пользователя Опыт работы в команде по методологии Agile Опыт работы с Atlassian Jira, Confluence и Bitbucket Знание алгоритмов цифровой обработки сигналов Знание технического английского Условия: Сложные и интересные задачи Официальное трудоустройство по ТК РФ Помощь в переезде в Челябинск Своевременную выплату заработной платы Офис в центре города с собственной парковкой Собственную столовую с питанием по льготным ценам Обучение английскому языку на территории предприятия Участие в корпоративных мероприятиях и праздниках ",не указано,3–6 лет,Инженер-программист(backend и frontend для Desktop),,150000.0,90000.0,полный день,"Qt,Atlassian Jira,Git,Разработка ПО,C++",Полная занятость,https://tyumen.hh.ru/vacancy/38297945,37
175,Челябинск,Napoleon IT,не указаны,14 октября 2020," Компания Napoleon IT ― разработчик программного обеспечения. Мы предлагаем готовые решения, а также осуществляем разработку по гибкой методологии. Наши решения в области бизнес-аналитики, предиктивной аналитики, компьютерного зрения, высоконагруженных систем и мобильной разработки дают конкурентное преимущество и гарантируют устойчивое развитие бизнеса клиентов. У нас много интересных задач, дружеская атмосфера и отличные условия! Обязанности: Разработка, поддержка и развитие крупного проекта на python; Написание unit-тестов и интеграций с внешними сервисами; Работа в тесном сотрудничестве с командой разработчиков и бизнес-аналитиками; Участие в обсуждении процессов разработки, освоение новых технологий; Документирование кода, работа с существующей проектной документацией. Требования: Опыт работы с Python от 2-3-х лет; Знание Django; Иметь представление о работе высоконагруженных приложениях; Готовность работать в режиме высокой производительности и укладываться в рамки спринта; Самостоятельность и инициативность. Условия: Работу в отличной команде — наши менеджеры, дизайнеры и разработчики по-настоящему влюблены в свое дело; Бесплатные профессиональные курсы, доступные всем сотрудникам офиса; 100% компенсацию приобретения профессиональной литературы. Официальное трудоустройство, гибкий режим рабочего времени. ","Разработка, поддержка и развитие крупного проекта на python;,Написание unit-тестов и интеграций с внешними сервисами;,Работа в тесном сотрудничестве с командой разработчиков и бизнес-аналитиками;,Участие в обсуждении процессов разработки, освоение новых технологий;,Документирование кода, работа с существующей проектной документацией.",1–3 года,Senior Backend developer Python,,92142.9,62678.6,полный день,"Python,Django Framework",Полная занятость,https://tyumen.hh.ru/vacancy/38045575,15
177,Челябинск,Xpage,не указаны,12 октября 2020," Привет! Мы- Digital Agency Xpage. Уже более 17 лет мы помогаем своим клиентам получать максимум пользы от современных технологий и инструментов веб-разработки, интернет-рекламы, дизайна и автоматизации. В нашем бэкграунде проекты для крупных представителей международного бизнеса и государственных структур. Мы создаем качественный и современный продукт, направленный на максимальную пользу и увеличение прибыли нашего клиента. В связи с увеличением объема проектов и запуском новых бизнес- направлений наша команда ищет веб-разработчика (уровень middle). Технологии: PHP, mysql - мастхэв :) JS - умение отправлять запросы, подписываться на события и понимать асинхронность; HTML, CSS - понимание работы; Что мы ожидаем: Нам нужен разработчик, который хорошо знает битрикс и имеет опыт создания сложных интернет-магазинов, желательно- с разными ценами, доставками и кучей складов. Также ты должен иметь опыт обмена каталога и остатков с 1С( или подобными системами). * Будет большим плюсом хорошее владение vue.js и сборщиками типа webpack, умение работать с сервером через ssh . Что предстоит делать: разрабатывать сложные веб-проекты/сайты для ТОПовых региональных и федеральных компаний (реальные, разные, интересные, живые проекты); разрабатывать автоматизированные системы управления (корпоративные порталы со сложной интеграцией); участвовать в командной разработке веб-решений; разрабатывать шаблонизированные решения/модули на 1С-Битрикс; При необходимости- разрабатывать внутренние проекты компании; изучать новые технологии и внедрять их (у нас всегда есть ""пространство для творчества""); Важно: -Опыт работы с продуктами 1С-Битрикс от 1,5 лет -Опыт работы по специальности- от 1,5 лет -Опыт разработки интернет-магазинов -Навыки работы с тех документацией -Опыт работы с различными API -PHP, MySQL на продвинутом уровне -Умение и желание работать в команде Xpage — это, прежде всего, команда высококлассных профессионалов и молодых амбициозных специалистов. Это команда жизнерадостных, творческих и любознательных людей, для которых интернет — это жизнь. Мы стремимся создавать для своих сотрудников только самые комфортные условия работы и отдыха. Наши сотрудники имеют уникальную возможность повышать свою квалификацию и развивать полезные профессиональные навыки на лучших площадках. Мы даем своим сотрудникам свободу идей, творчества и самовыражения. Гарантируем трудоустройство по ТК РФ. Xpage — это большая семья, которая всегда рада принять новых людей) ",не указано,1–3 года,Middle web-developer / веб-разработчик,,60000.0,40000.0,полный день,"JavaScript,MySQL,1С-Битрикс,PHP,Веб-программирование,Аналитическое мышление,Создание сайтов",Полная занятость,https://tyumen.hh.ru/vacancy/39446378,17
